type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V6,0,I0187,0.0,0.0,0.0,0
V6,0,I0649,1600.0,0.0,0.0,0
V6,0,I0513,0.0,1200.0,0.0,0
V6,0,I0526,1200.0,1200.0,0.0,0
V6,1,I0164,0.0,0.0,0.0,0
V6,1,I0219,1600.0,0.0,0.0,0
V6,1,I0002,0.0,1200.0,0.0,0
V6,2,I0419,0.0,0.0,0.0,0
V6,2,I1183,1600.0,0.0,0.0,0
V6,2,I0085,0.0,1200.0,0.0,0
V6,3,I0005,0.0,0.0,0.0,0
V6,3,I0016,1600.0,0.0,0.0,0
V6,3,I0238,0.0,1200.0,0.0,0
V6,4,I0022,0.0,0.0,0.0,0
V6,4,I0043,1600.0,0.0,0.0,0
V6,4,I0242,0.0,1200.0,0.0,0
V6,5,I0050,0.0,0.0,0.0,0
V6,5,I0051,1600.0,0.0,0.0,0
V6,5,I0259,0.0,1200.0,0.0,0
V6,6,I0060,0.0,0.0,0.0,0
V6,6,I0064,1600.0,0.0,0.0,0
V6,6,I0260,0.0,1200.0,0.0,0
V6,7,I0065,0.0,0.0,0.0,0
V6,7,I0075,1200.0,0.0,0.0,1
V6,7,I0084,2400.0,0.0,0.0,1
V6,8,I0091,0.0,0.0,0.0,0
V6,8,I0098,1600.0,0.0,0.0,0
V6,8,I0282,0.0,1200.0,0.0,0
V6,9,I0129,0.0,0.0,0.0,0
V6,9,I0146,1600.0,0.0,0.0,0
V6,9,I0431,0.0,1200.0,0.0,0
V6,10,I0173,0.0,0.0,0.0,0
V6,10,I0186,1200.0,0.0,0.0,1
V6,10,I0201,2400.0,0.0,0.0,1
V6,11,I0207,0.0,0.0,0.0,0
V6,11,I0211,1600.0,0.0,0.0,0
V6,11,I0605,0.0,1200.0,0.0,0
V6,12,I0214,0.0,0.0,0.0,0
V6,12,I0228,1600.0,0.0,0.0,0
V6,12,I0635,0.0,1200.0,0.0,0
V6,13,I0241,0.0,0.0,0.0,0
V6,13,I0268,1600.0,0.0,0.0,0
V6,13,I0796,0.0,1200.0,0.0,0
V6,14,I0293,0.0,0.0,0.0,0
V6,14,I0295,1600.0,0.0,0.0,0
V6,14,I0813,0.0,1200.0,0.0,0
V6,15,I0312,0.0,0.0,0.0,0
V6,15,I0318,1600.0,0.0,0.0,0
V6,15,I0383,2800.0,0.0,0.0,1
V6,15,I0747,0.0,1200.0,0.0,0
V6,16,I0404,0.0,0.0,0.0,0
V6,16,I0420,1600.0,0.0,0.0,0
V6,16,I1137,0.0,1200.0,0.0,0
V6,17,I0430,0.0,0.0,0.0,0
V6,17,I0437,1600.0,0.0,0.0,0
V6,17,I1175,0.0,1200.0,0.0,0
V6,18,I0442,0.0,0.0,0.0,0
V6,18,I0452,1600.0,0.0,0.0,0
V6,18,I1226,0.0,1200.0,0.0,0
V6,19,I0462,0.0,0.0,0.0,0
V6,19,I0465,1600.0,0.0,0.0,0
V6,19,I0547,0.0,1200.0,0.0,0
V6,19,I0555,1200.0,1200.0,0.0,0
V6,20,I0475,0.0,0.0,0.0,0
V6,20,I0491,1600.0,0.0,0.0,0
V6,20,I0622,0.0,1200.0,0.0,0
V6,20,I0624,1200.0,1200.0,0.0,0
V6,21,I0506,0.0,0.0,0.0,0
V6,21,I0518,1600.0,0.0,0.0,0
V6,21,I0674,0.0,1200.0,0.0,0
V6,21,I0679,1200.0,1200.0,0.0,0
V6,22,I0519,0.0,0.0,0.0,0
V6,22,I0520,1600.0,0.0,0.0,0
V6,22,I0688,0.0,1200.0,0.0,0
V6,22,I0723,1200.0,1200.0,0.0,0
V6,23,I0554,0.0,0.0,0.0,0
V6,23,I0561,1600.0,0.0,0.0,0
V6,23,I0728,0.0,1200.0,0.0,0
V6,23,I0731,1200.0,1200.0,0.0,0
V6,24,I0566,0.0,0.0,0.0,0
V6,24,I0571,1600.0,0.0,0.0,0
V6,24,I0803,0.0,1200.0,0.0,0
V6,24,I0810,1200.0,1200.0,0.0,0
V6,25,I0589,0.0,0.0,0.0,0
V6,25,I0636,1600.0,0.0,0.0,0
V6,25,I0839,0.0,1200.0,0.0,0
V6,25,I0879,1200.0,1200.0,0.0,0
V6,26,I0638,0.0,0.0,0.0,0
V6,26,I0642,1600.0,0.0,0.0,0
V6,26,I0900,0.0,1200.0,0.0,0
V6,26,I0942,1200.0,1200.0,0.0,0
V6,27,I0657,0.0,0.0,0.0,0
V6,27,I0699,1600.0,0.0,0.0,0
V6,27,I1002,0.0,1200.0,0.0,0
V6,27,I1018,1200.0,1200.0,0.0,0
V6,28,I0701,0.0,0.0,0.0,0
V6,28,I0706,1600.0,0.0,0.0,0
V6,28,I1022,0.0,1200.0,0.0,0
V6,28,I1067,1200.0,1200.0,0.0,0
V6,29,I0707,0.0,0.0,0.0,0
V6,29,I0708,1600.0,0.0,0.0,0
V6,29,I1121,0.0,1200.0,0.0,0
V6,29,I1215,1200.0,1200.0,0.0,0
V6,30,I0714,0.0,0.0,0.0,0
V6,30,I0730,1200.0,0.0,0.0,1
V6,30,I0733,2400.0,0.0,0.0,1
V6,31,I0777,0.0,0.0,0.0,0
V6,31,I0788,1600.0,0.0,0.0,0
V6,31,I1252,0.0,1200.0,0.0,0
V6,31,I1266,1200.0,1200.0,0.0,0
V6,32,I0794,0.0,0.0,0.0,0
V6,32,I0795,1200.0,0.0,0.0,1
V6,32,I0818,2400.0,0.0,0.0,1
V6,33,I0827,0.0,0.0,0.0,0
V6,33,I0837,1600.0,0.0,0.0,0
V6,33,I0125,0.0,1200.0,0.0,0
V6,33,I0135,1200.0,1200.0,0.0,0
V6,34,I0859,0.0,0.0,0.0,0
V6,34,I0878,1600.0,0.0,0.0,0
V6,34,I0342,0.0,1200.0,0.0,0
V6,34,I0477,1200.0,1200.0,0.0,0
V6,35,I0891,0.0,0.0,0.0,0
V6,35,I0906,1600.0,0.0,0.0,0
V6,35,I0583,0.0,1200.0,0.0,0
V6,35,I0821,1200.0,1200.0,0.0,0
V6,36,I0937,0.0,0.0,0.0,0
V6,36,I0941,1600.0,0.0,0.0,0
V6,36,I1001,0.0,1200.0,0.0,0
V6,36,I1059,1200.0,1200.0,0.0,0
V6,37,I0945,0.0,0.0,0.0,0
V6,37,I0993,1600.0,0.0,0.0,0
V6,37,I1202,0.0,1200.0,0.0,0
V6,37,I0690,1200.0,1200.0,0.0,0
V6,38,I1026,0.0,0.0,0.0,0
V6,38,I1028,1600.0,0.0,0.0,0
V6,38,I0964,0.0,1200.0,0.0,0
V6,39,I1035,0.0,0.0,0.0,0
V6,39,I1036,1600.0,0.0,0.0,0
V6,39,I0181,0.0,1200.0,0.0,0
V6,39,I0271,780.0,1200.0,0.0,0
V6,40,I1038,0.0,0.0,0.0,0
