type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V6,0,I0032,0.0,0.0,0.0,0
V6,0,I0045,2000.0,0.0,0.0,0
V6,0,I0128,0.0,1200.0,0.0,0
V6,0,I0139,2000.0,1200.0,0.0,0
V6,0,I0147,4000.0,0.0,0.0,1
V6,0,I0153,5200.0,0.0,0.0,1
V6,1,I0166,0.0,0.0,0.0,0
V6,1,I0171,2000.0,0.0,0.0,0
V6,1,I0189,0.0,1200.0,0.0,0
V6,1,I0196,2000.0,1200.0,0.0,0
V6,1,I0230,4000.0,0.0,0.0,1
V6,1,I0236,5200.0,0.0,0.0,1
V6,2,I0264,0.0,0.0,0.0,0
V6,2,I0272,2000.0,0.0,0.0,0
V6,2,I0404,0.0,1200.0,0.0,0
V6,2,I0414,2000.0,1200.0,0.0,0
V6,2,I0453,4000.0,0.0,0.0,1
V6,2,I0000,5200.0,0.0,0.0,1
V7,3,I0012,0.0,0.0,0.0,0
V7,3,I0017,2200.0,0.0,0.0,1
V7,3,I0079,0.0,1600.0,0.0,0
V7,4,I0019,0.0,0.0,0.0,0
V7,4,I0053,2200.0,0.0,0.0,1
V7,4,I0193,0.0,1600.0,0.0,0
V7,5,I0112,0.0,0.0,0.0,0
V7,5,I0115,2200.0,0.0,0.0,1
V7,5,I0314,0.0,1600.0,0.0,0
V7,6,I0130,0.0,0.0,0.0,0
V7,6,I0136,2200.0,0.0,0.0,1
V7,6,I0327,0.0,1600.0,0.0,0
V7,7,I0145,0.0,0.0,0.0,0
V7,7,I0155,2200.0,0.0,0.0,1
V7,7,I0338,0.0,1600.0,0.0,0
V7,8,I0163,0.0,0.0,0.0,0
V7,8,I0178,2200.0,0.0,0.0,1
V7,8,I0350,0.0,1600.0,0.0,0
V7,9,I0179,0.0,0.0,0.0,0
V7,9,I0182,2200.0,0.0,0.0,1
V7,9,I0408,0.0,1600.0,0.0,0
V7,10,I0197,0.0,0.0,0.0,0
V7,10,I0225,2200.0,0.0,0.0,1
V7,10,I0415,0.0,1600.0,0.0,0
V7,11,I0233,0.0,0.0,0.0,0
V7,11,I0240,2200.0,0.0,0.0,1
V7,11,I0443,0.0,1600.0,0.0,0
V7,12,I0247,0.0,0.0,0.0,0
V7,12,I0271,2200.0,0.0,0.0,1
V7,12,I0458,0.0,1600.0,0.0,0
V7,13,I0286,0.0,0.0,0.0,0
V7,13,I0287,2200.0,0.0,0.0,1
V7,13,I0486,0.0,1600.0,0.0,0
V7,14,I0288,0.0,0.0,0.0,0
V7,14,I0323,2200.0,0.0,0.0,1
V7,14,I0488,0.0,1600.0,0.0,0
V7,15,I0334,0.0,0.0,0.0,0
V7,15,I0335,2200.0,0.0,0.0,1
V7,15,I0198,0.0,1600.0,0.0,0
V7,16,I0361,0.0,0.0,0.0,0
V7,16,I0367,2200.0,0.0,0.0,1
V7,16,I0469,0.0,1600.0,0.0,0
V7,17,I0372,0.0,0.0,0.0,0
V7,17,I0382,2200.0,0.0,0.0,1
V7,17,I0015,0.0,1600.0,0.0,0
V7,18,I0389,0.0,0.0,0.0,0
V7,18,I0392,2200.0,0.0,0.0,1
V7,18,I0022,0.0,1600.0,0.0,0
V7,19,I0429,0.0,0.0,0.0,0
V7,19,I0452,2200.0,0.0,0.0,1
V7,19,I0026,0.0,1600.0,0.0,0
V7,20,I0472,0.0,0.0,0.0,0
V7,20,I0481,2200.0,0.0,0.0,1
V7,20,I0030,0.0,1600.0,0.0,0
V7,21,I0001,0.0,0.0,0.0,0
V7,21,I0004,2050.0,0.0,0.0,0
V7,22,I0020,0.0,0.0,0.0,0
V7,22,I0028,2050.0,0.0,0.0,0
V7,23,I0071,0.0,0.0,0.0,0
V7,23,I0076,2050.0,0.0,0.0,0
V7,24,I0097,0.0,0.0,0.0,0
V7,24,I0134,2050.0,0.0,0.0,0
V7,25,I0138,0.0,0.0,0.0,0
V7,25,I0144,2050.0,0.0,0.0,0
V7,26,I0215,0.0,0.0,0.0,0
V7,26,I0224,2050.0,0.0,0.0,0
V7,27,I0243,0.0,0.0,0.0,0
V7,27,I0246,2050.0,0.0,0.0,0
V7,28,I0259,0.0,0.0,0.0,0
V7,28,I0274,2050.0,0.0,0.0,0
V7,29,I0285,0.0,0.0,0.0,0
V7,29,I0296,2050.0,0.0,0.0,0
V7,30,I0301,0.0,0.0,0.0,0
V7,30,I0304,2050.0,0.0,0.0,0
V7,31,I0311,0.0,0.0,0.0,0
V7,31,I0316,2050.0,0.0,0.0,0
V7,32,I0339,0.0,0.0,0.0,0
V7,32,I0341,2050.0,0.0,0.0,0
V7,33,I0358,0.0,0.0,0.0,0
V7,33,I0386,2050.0,0.0,0.0,0
V7,34,I0416,0.0,0.0,0.0,0
V7,34,I0425,2050.0,0.0,0.0,0
V7,35,I0428,0.0,0.0,0.0,0
V7,35,I0447,2050.0,0.0,0.0,0
V7,36,I0449,0.0,0.0,0.0,0
V7,36,I0471,2050.0,0.0,0.0,0
V7,37,I0482,0.0,0.0,0.0,0
V7,37,I0495,2050.0,0.0,0.0,0
V7,38,I0191,0.0,0.0,0.0,0
V7,38,I0006,2000.0,0.0,0.0,0
V7,39,I0204,0.0,0.0,0.0,0
V7,39,I0237,2400.0,0.0,0.0,1
V7,39,I0037,0.0,1200.0,0.0,0
V7,40,I0207,0.0,0.0,0.0,0
V7,40,I0261,2400.0,0.0,0.0,1
V7,40,I0038,0.0,1200.0,0.0,0
V7,41,I0362,0.0,0.0,0.0,0
V7,41,I0273,2400.0,0.0,0.0,1
V7,41,I0042,0.0,1200.0,0.0,0
V7,42,I0356,0.0,0.0,0.0,0
V7,42,I0385,2030.0,0.0,0.0,0
V7,43,I0397,0.0,0.0,0.0,0
V7,43,I0046,2030.0,0.0,0.0,0
V7,44,I0062,0.0,0.0,0.0,0
V7,44,I0083,2030.0,0.0,0.0,0
V7,45,I0089,0.0,0.0,0.0,0
V7,45,I0107,2030.0,0.0,0.0,0
V7,46,I0120,0.0,0.0,0.0,0
V7,46,I0129,2030.0,0.0,0.0,0
V7,47,I0149,0.0,0.0,0.0,0
V7,47,I0200,2030.0,0.0,0.0,0
V7,48,I0210,0.0,0.0,0.0,0
V7,48,I0284,2030.0,0.0,0.0,0
V7,49,I0302,0.0,0.0,0.0,0
V7,49,I0315,2030.0,0.0,0.0,0
V7,50,I0317,0.0,0.0,0.0,0
V7,50,I0319,2030.0,0.0,0.0,0
V7,51,I0332,0.0,0.0,0.0,0
V7,51,I0354,2030.0,0.0,0.0,0
V7,52,I0360,0.0,0.0,0.0,0
V7,52,I0412,2030.0,0.0,0.0,0
V7,53,I0433,0.0,0.0,0.0,0
V7,53,I0462,2030.0,0.0,0.0,0
V7,54,I0059,0.0,0.0,0.0,0
V7,54,I0127,2030.0,0.0,0.0,0
V7,55,I0152,0.0,0.0,0.0,0
V7,55,I0217,2030.0,0.0,0.0,0
V7,56,I0277,0.0,0.0,0.0,0
V7,56,I0337,2030.0,0.0,0.0,0
V7,57,I0340,0.0,0.0,0.0,0
V7,57,I0402,2030.0,0.0,0.0,0
V7,58,I0023,0.0,0.0,0.0,0
V7,58,I0109,1910.0,0.0,0.0,0
V7,58,I0077,0.0,1200.0,0.0,0
V7,59,I0029,0.0,0.0,0.0,0
V7,59,I0205,1910.0,0.0,0.0,0
V7,59,I0283,0.0,1200.0,0.0,0
V7,60,I0034,0.0,0.0,0.0,0
V7,60,I0228,1910.0,0.0,0.0,0
V7,60,I0401,0.0,1200.0,0.0,0
V7,61,I0036,0.0,0.0,0.0,0
V7,61,I0267,1910.0,0.0,0.0,0
V7,61,I0475,0.0,1200.0,0.0,0
V7,62,I0072,0.0,0.0,0.0,0
V7,62,I0321,1910.0,0.0,0.0,0
V7,62,I0295,0.0,1200.0,0.0,0
V7,63,I0093,0.0,0.0,0.0,0
V7,63,I0325,1910.0,0.0,0.0,0
V7,63,I0159,0.0,1200.0,0.0,0
V7,64,I0099,0.0,0.0,0.0,0
V7,64,I0411,1910.0,0.0,0.0,0
V7,64,I0391,0.0,1200.0,0.0,0
V7,65,I0102,0.0,0.0,0.0,0
V7,65,I0457,1910.0,0.0,0.0,0
V7,65,I0252,0.0,1200.0,0.0,0
V7,66,I0103,0.0,0.0,0.0,0
V7,66,I0459,1910.0,0.0,0.0,0
V7,66,I0117,0.0,1200.0,0.0,0
V7,67,I0114,0.0,0.0,0.0,0
V7,67,I0463,1910.0,0.0,0.0,0
V7,67,I0069,0.0,1200.0,0.0,0
V7,68,I0119,0.0,0.0,0.0,0
V7,68,I0465,1910.0,0.0,0.0,0
V7,68,I0308,0.0,1200.0,0.0,0
V7,69,I0121,0.0,0.0,0.0,0
V7,69,I0466,1910.0,0.0,0.0,0
V7,69,I0349,0.0,1200.0,0.0,0
V7,70,I0124,0.0,0.0,0.0,0
V7,70,I0467,1910.0,0.0,0.0,0
V7,70,I0371,0.0,1200.0,0.0,0
V7,71,I0184,0.0,0.0,0.0,0
V7,71,I0491,1910.0,0.0,0.0,0
V7,71,I0422,0.0,1200.0,0.0,0
V7,72,I0195,0.0,0.0,0.0,0
V7,72,I0009,1910.0,0.0,0.0,0
V7,72,I0090,0.0,1200.0,0.0,0
V7,73,I0220,0.0,0.0,0.0,0
V7,73,I0013,1910.0,0.0,0.0,0
V7,73,I0318,0.0,1200.0,0.0,0
V7,74,I0223,0.0,0.0,0.0,0
V7,74,I0025,1910.0,0.0,0.0,0
V7,74,I0066,0.0,1200.0,0.0,0
V7,75,I0226,0.0,0.0,0.0,0
V7,75,I0067,1910.0,0.0,0.0,0
V7,75,I0456,0.0,1200.0,0.0,0
V7,76,I0229,0.0,0.0,0.0,0
V7,76,I0070,1910.0,0.0,0.0,0
V7,76,I0088,0.0,1200.0,0.0,0
V7,77,I0234,0.0,0.0,0.0,0
V7,77,I0073,1910.0,0.0,0.0,0
V7,77,I0344,0.0,1200.0,0.0,0
V7,78,I0241,0.0,0.0,0.0,0
V7,78,I0081,1910.0,0.0,0.0,0
V7,78,I0438,0.0,1200.0,0.0,0
V7,79,I0245,0.0,0.0,0.0,0
V7,79,I0104,1910.0,0.0,0.0,0
V7,79,I0448,0.0,1200.0,0.0,0
V7,80,I0270,0.0,0.0,0.0,0
V7,80,I0111,1910.0,0.0,0.0,0
V7,80,I0232,0.0,1200.0,0.0,0
V7,81,I0320,0.0,0.0,0.0,0
V7,81,I0116,1910.0,0.0,0.0,0
V7,81,I0002,0.0,1200.0,0.0,0
V7,82,I0326,0.0,0.0,0.0,0
V7,82,I0122,1910.0,0.0,0.0,0
V7,82,I0078,0.0,1200.0,0.0,0
V7,83,I0347,0.0,0.0,0.0,0
V7,83,I0126,1910.0,0.0,0.0,0
V7,83,I0219,0.0,1200.0,0.0,0
V7,84,I0351,0.0,0.0,0.0,0
V7,84,I0133,1910.0,0.0,0.0,0
V7,84,I0096,0.0,1200.0,0.0,0
V7,85,I0353,0.0,0.0,0.0,0
V7,85,I0156,1910.0,0.0,0.0,0
V7,85,I0146,0.0,1200.0,0.0,0
V7,86,I0363,0.0,0.0,0.0,0
V7,86,I0158,1910.0,0.0,0.0,0
V7,86,I0172,0.0,1200.0,0.0,0
V7,87,I0368,0.0,0.0,0.0,0
V7,87,I0161,1910.0,0.0,0.0,0
V7,87,I0213,0.0,1200.0,0.0,0
V7,88,I0370,0.0,0.0,0.0,0
V7,88,I0175,1910.0,0.0,0.0,0
V7,88,I0239,0.0,1200.0,0.0,0
V7,89,I0403,0.0,0.0,0.0,0
V7,89,I0201,1910.0,0.0,0.0,0
V7,89,I0255,0.0,1200.0,0.0,0
V7,90,I0413,0.0,0.0,0.0,0
V7,90,I0202,1910.0,0.0,0.0,0
V7,90,I0266,0.0,1200.0,0.0,0
V7,91,I0419,0.0,0.0,0.0,0
V7,91,I0209,1910.0,0.0,0.0,0
V7,91,I0444,0.0,1200.0,0.0,0
V7,92,I0426,0.0,0.0,0.0,0
V7,92,I0257,1910.0,0.0,0.0,0
V7,92,I0290,0.0,1200.0,0.0,0
V7,93,I0437,0.0,0.0,0.0,0
V7,93,I0293,1910.0,0.0,0.0,0
V7,93,I0439,0.0,1200.0,0.0,0
V7,94,I0451,0.0,0.0,0.0,0
V7,94,I0300,1910.0,0.0,0.0,0
V7,94,I0092,0.0,1200.0,0.0,0
V7,94,I0074,780.0,1200.0,0.0,0
V7,95,I0478,0.0,0.0,0.0,0
V7,95,I0303,1910.0,0.0,0.0,0
V7,95,I0203,0.0,1200.0,0.0,0
V7,95,I0095,780.0,1200.0,0.0,0
V7,96,I0479,0.0,0.0,0.0,0
V7,96,I0306,1910.0,0.0,0.0,0
V7,96,I0379,0.0,1200.0,0.0,0
V7,96,I0173,780.0,1200.0,0.0,0
V7,97,I0493,0.0,0.0,0.0,0
V7,97,I0329,1910.0,0.0,0.0,0
V7,97,I0014,0.0,1200.0,0.0,0
V7,97,I0183,780.0,1200.0,0.0,0
V7,98,I0497,0.0,0.0,0.0,0
V7,98,I0359,1910.0,0.0,0.0,0
V7,98,I0330,0.0,1200.0,0.0,0
V7,98,I0227,780.0,1200.0,0.0,0
V7,99,I0063,0.0,0.0,0.0,0
V7,99,I0039,1800.0,0.0,0.0,0
V7,99,I0254,0.0,1200.0,0.0,0
V7,100,I0098,0.0,0.0,0.0,0
V7,100,I0065,1800.0,0.0,0.0,0
V7,100,I0256,0.0,1200.0,0.0,0
V7,101,I0131,0.0,0.0,0.0,0
V7,101,I0140,1800.0,0.0,0.0,0
V7,101,I0282,0.0,1200.0,0.0,0
V7,102,I0169,0.0,0.0,0.0,0
V7,102,I0383,1800.0,0.0,0.0,0
V7,102,I0289,0.0,1200.0,0.0,0
V7,103,I0322,0.0,0.0,0.0,0
V7,103,I0100,1800.0,0.0,0.0,0
V7,103,I0410,0.0,1200.0,0.0,0
V7,104,I0380,0.0,0.0,0.0,0
V7,104,I0160,1800.0,0.0,0.0,0
V7,104,I0427,0.0,1200.0,0.0,0
V7,105,I0387,0.0,0.0,0.0,0
V7,105,I0168,1800.0,0.0,0.0,0
V7,105,I0490,0.0,1200.0,0.0,0
V7,106,I0399,0.0,0.0,0.0,0
V7,106,I0366,1800.0,0.0,0.0,0
V7,106,I0151,0.0,1200.0,0.0,0
V7,107,I0442,0.0,0.0,0.0,0
V7,107,I0027,1800.0,0.0,0.0,0
V7,108,I0390,0.0,0.0,0.0,0
V7,108,I0460,1800.0,0.0,0.0,0
V7,109,I0470,0.0,0.0,0.0,0
V7,109,I0498,1800.0,0.0,0.0,0
V7,110,I0007,0.0,0.0,0.0,0
V7,110,I0021,1400.0,0.0,0.0,0
V7,110,I0125,0.0,1200.0,0.0,0
V7,110,I0016,2800.0,0.0,0.0,1
V7,111,I0043,0.0,0.0,0.0,0
V7,111,I0047,1400.0,0.0,0.0,0
V7,111,I0180,0.0,1200.0,0.0,0
V7,111,I0054,2800.0,0.0,0.0,1
V7,112,I0048,0.0,0.0,0.0,0
V7,112,I0049,1400.0,0.0,0.0,0
V7,112,I0238,0.0,1200.0,0.0,0
V7,112,I0060,2800.0,0.0,0.0,1
V7,113,I0068,0.0,0.0,0.0,0
V7,113,I0091,1400.0,0.0,0.0,0
V7,113,I0244,0.0,1200.0,0.0,0
V7,113,I0132,2800.0,0.0,0.0,1
V7,114,I0094,0.0,0.0,0.0,0
V7,114,I0101,1400.0,0.0,0.0,0
V7,114,I0250,0.0,1200.0,0.0,0
V7,114,I0141,2800.0,0.0,0.0,1
V7,115,I0108,0.0,0.0,0.0,0
V7,115,I0113,1400.0,0.0,0.0,0
V7,115,I0265,0.0,1200.0,0.0,0
V7,115,I0297,2800.0,0.0,0.0,1
V7,116,I0123,0.0,0.0,0.0,0
V7,116,I0177,1400.0,0.0,0.0,0
V7,116,I0298,0.0,1200.0,0.0,0
V7,116,I0309,2800.0,0.0,0.0,1
V7,117,I0181,0.0,0.0,0.0,0
V7,117,I0186,1400.0,0.0,0.0,0
V7,117,I0432,0.0,1200.0,0.0,0
V7,117,I0348,2800.0,0.0,0.0,1
V7,118,I0187,0.0,0.0,0.0,0
V7,118,I0188,1400.0,0.0,0.0,0
V7,118,I0445,0.0,1200.0,0.0,0
V7,118,I0373,2800.0,0.0,0.0,1
V7,119,I0190,0.0,0.0,0.0,0
V7,119,I0194,1400.0,0.0,0.0,0
V7,119,I0487,0.0,1200.0,0.0,0
V7,119,I0407,2800.0,0.0,0.0,1
V7,120,I0212,0.0,0.0,0.0,0
V7,120,I0248,1400.0,0.0,0.0,0
V7,120,I0082,0.0,1200.0,0.0,0
V7,120,I0417,2800.0,0.0,0.0,1
V7,121,I0253,0.0,0.0,0.0,0
V7,121,I0305,1400.0,0.0,0.0,0
V7,121,I0157,0.0,1200.0,0.0,0
V7,121,I0454,2800.0,0.0,0.0,1
V7,122,I0324,0.0,0.0,0.0,0
V7,122,I0333,1400.0,0.0,0.0,0
V7,122,I0162,0.0,1200.0,0.0,0
V7,122,I0492,2800.0,0.0,0.0,1
V7,123,I0352,0.0,0.0,0.0,0
V7,123,I0369,1400.0,0.0,0.0,0
V7,123,I0262,0.0,1200.0,0.0,0
V7,123,I0494,2800.0,0.0,0.0,1
V7,124,I0374,0.0,0.0,0.0,0
V7,124,I0376,1400.0,0.0,0.0,0
V7,124,I0292,0.0,1200.0,0.0,0
V7,125,I0378,0.0,0.0,0.0,0
V7,125,I0381,1400.0,0.0,0.0,0
V7,125,I0384,0.0,1200.0,0.0,0
V7,126,I0388,0.0,0.0,0.0,0
V7,126,I0421,1400.0,0.0,0.0,0
V7,126,I0400,0.0,1200.0,0.0,0
V7,127,I0423,0.0,0.0,0.0,0
V7,127,I0424,1400.0,0.0,0.0,0
V7,127,I0406,0.0,1200.0,0.0,0
V7,128,I0434,0.0,0.0,0.0,0
V7,128,I0450,1400.0,0.0,0.0,0
V7,128,I0446,0.0,1200.0,0.0,0
V7,129,I0468,0.0,0.0,0.0,0
V7,129,I0484,1400.0,0.0,0.0,0
V7,129,I0010,0.0,1200.0,0.0,0
V7,130,I0499,0.0,0.0,0.0,0
V7,130,I0031,1400.0,0.0,0.0,0
V7,130,I0075,0.0,1200.0,0.0,0
V7,131,I0105,0.0,0.0,0.0,0
V7,131,I0143,0.0,1000.0,0.0,0
V7,131,I0137,2350.0,0.0,0.0,0
V7,132,I0150,0.0,0.0,0.0,0
V7,132,I0211,0.0,1000.0,0.0,0
V7,132,I0483,2350.0,0.0,0.0,0
V7,133,I0336,0.0,0.0,0.0,0
V7,133,I0474,0.0,1000.0,0.0,0
V7,133,I0058,2350.0,0.0,0.0,0
V7,134,I0489,0.0,0.0,0.0,0
V7,134,I0393,0.0,1000.0,0.0,0
V7,134,I0170,2350.0,0.0,0.0,0
V7,135,I0040,0.0,0.0,0.0,0
V7,135,I0086,0.0,1000.0,0.0,0
V7,135,I0395,2350.0,0.0,0.0,0
V7,136,I0436,0.0,0.0,0.0,0
V7,136,I0003,0.0,1000.0,0.0,0
V7,136,I0008,1800.0,1000.0,0.0,0
V7,136,I0035,2350.0,0.0,0.0,0
V7,137,I0011,0.0,0.0,0.0,0
V7,137,I0051,1800.0,0.0,0.0,0
V7,137,I0055,0.0,1200.0,0.0,0
V7,137,I0206,1200.0,1200.0,0.0,0
V7,138,I0052,0.0,0.0,0.0,0
V7,138,I0057,1800.0,0.0,0.0,0
V7,138,I0263,0.0,1200.0,0.0,0
V7,138,I0312,780.0,1200.0,0.0,0
V7,139,I0080,0.0,0.0,0.0,0
V7,139,I0148,1800.0,0.0,0.0,0
V7,139,I0405,0.0,1200.0,0.0,0
V7,139,I0461,780.0,1200.0,0.0,0
V7,140,I0164,0.0,0.0,0.0,0
V7,140,I0167,1800.0,0.0,0.0,0
V7,140,I0056,0.0,1200.0,0.0,0
V7,140,I0064,780.0,1200.0,0.0,0
V7,141,I0185,0.0,0.0,0.0,0
V7,141,I0214,1800.0,0.0,0.0,0
V7,141,I0135,0.0,1200.0,0.0,0
V7,141,I0192,780.0,1200.0,0.0,0
V7,142,I0221,0.0,0.0,0.0,0
V7,142,I0222,1800.0,0.0,0.0,0
V7,142,I0199,0.0,1200.0,0.0,0
V7,142,I0435,780.0,1200.0,0.0,0
V7,143,I0235,0.0,0.0,0.0,0
V7,143,I0249,1800.0,0.0,0.0,0
V7,143,I0485,0.0,1200.0,0.0,0
V7,143,I0464,780.0,1200.0,0.0,0
V7,144,I0260,0.0,0.0,0.0,0
V7,144,I0275,1800.0,0.0,0.0,0
V7,145,I0280,0.0,0.0,0.0,0
V7,145,I0281,1800.0,0.0,0.0,0
V7,146,I0299,0.0,0.0,0.0,0
V7,146,I0307,1800.0,0.0,0.0,0
V7,147,I0331,0.0,0.0,0.0,0
V7,147,I0355,1800.0,0.0,0.0,0
V7,148,I0365,0.0,0.0,0.0,0
V7,148,I0377,1800.0,0.0,0.0,0
V7,149,I0396,0.0,0.0,0.0,0
V7,149,I0496,1800.0,0.0,0.0,0
V7,150,I0291,0.0,0.0,0.0,0
V7,150,I0418,1600.0,0.0,0.0,0
V7,151,I0398,0.0,0.0,0.0,0
V7,151,I0050,1600.0,0.0,0.0,0
V7,152,I0174,0.0,0.0,0.0,0
V7,152,I0420,1600.0,0.0,0.0,0
V7,152,I0328,0.0,1200.0,0.0,0
V7,153,I0343,0.0,0.0,0.0,0
V7,153,I0310,1600.0,0.0,0.0,0
V7,154,I0044,0.0,0.0,0.0,0
V7,154,I0087,1600.0,0.0,0.0,0
V7,155,I0118,0.0,0.0,0.0,0
V7,155,I0142,1600.0,0.0,0.0,0
V7,156,I0251,0.0,0.0,0.0,0
